Category,Reference,Text
Hope,Deuteronomy 31:6,"""Be strong and courageous. Do not be afraid or terrified because of them, for the Lord your God goes with you; he will never leave you nor forsake you.�"""
Hope,Proverbs 24:14,"""Know also that wisdom is like honey for you: If you find it, there is a future hope for you, and your hope will not be cut off."""
Hope,Titus 3:7,"""so that, having been justified by his grace, we might become heirs having the hope of eternal life."""
Hope,Psalm 146:5,"""Blessed are those whose help is the God of Jacob, whose hope is in the Lord their God."""
Hope,2 Corinthians 1:10,"""He has delivered us from such a deadly peril, and he will deliver us again. On him we have set our hope that he will continue to deliver us,"""
Hope,Pslam 37:39-40,"""""""The salvation of the righteous comes from the Lord; he is their stronghold in time of trouble. The Lord helps them and delivers them; he delivers them from the wicked and saves them, because they take refuge in him."""""""
Hope,John 14:27,"""Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid."""
Hope,Isaiah 12:2,"""Surely God is my salvation; I will trust and not be afraid. The Lord , the Lord himself, is my strength and my defense ; he has become my salvation. �"""
Hope,1 Peter 5:10,"""And the God of all grace, who called you to his eternal glory in Christ, after you have suffered a little while, will himself restore you and make you strong, firm and steadfast."""
Hope,Romans 15:4,"""For everything that was written in the past was written to teach us, so that through the endurance taught in the Scriptures and the encouragement they provide we might have hope."""
Hope,Pslam 147:11,"""""""The Lord delights in those who fear him, who put their hope in his unfailing love."""""""
Hope,1 Thessalonians 1:3,"""We remember before our God and Father your work produced by faith, your labor prompted by love, and your endurance inspired by hope in our Lord Jesus Christ."""
Motivation,Philippians 4:13,"""I can do all this through him who gives me strength."""
Motivation,Hebrews 12:1-2,"""Therefore, since we are surrounded by such a great cloud of witnesses, let us throw off everything that hinders and the sin that so easily entangles. And let us run with perseverance the race marked out for us, fixing our eyes on Jesus, the pioneer and perfecter of faith. For the joy set before him he endured the cross, scorning its shame, and sat down at the right hand of the throne of God."""
Motivation,2 Timothy 1:7,"""For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline."""
Motivation,1 Corinthians 15:58,"""Therefore, my dear brothers and sisters, stand firm. Let nothing move you. Always give yourselves fully to the work of the Lord, because you know that your labor in the Lord is not in vain."""
Motivation,Galatians 6:9,"""Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up."""
Motivation,Joshua 1:9,"""Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.�"""
Motivation,Colossians 3:23,"""Whatever you do, work at it with all your heart, as working for the Lord, not for human masters,"""
Motivation,Romans 8:31,"""More Than Conquerors What, then, shall we say in response to these things? If God is for us, who can be against us?"""
Motivation,Ephesians 6:10,"""The Armor of God Finally, be strong in the Lord and in his mighty power."""
Motivation,Proverbs 3:5-6,"""Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight."""
Motivation,1 Corinthians 9:24,"""The Need for Self-Discipline Do you not know that in a race all the runners run, but only one gets the prize? Run in such a way as to get the prize."""
Motivation,Psalm 28:7,"""The Lord is my strength and my shield; my heart trusts in him, and he helps me. My heart leaps for joy, and with my song I praise him."""
Motivation,Romans 12:11,"""Never be lacking in zeal, but keep your spiritual fervor, serving the Lord."""
Motivation,Psalm 18:32,"""It is God who arms me with strength and keeps my way secure."""
Motivation,Isaiah 41:10,"""So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand."""
Motivation,John 16:33,"""�I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world.�"""
Motivation,James 1:12,"""Blessed is the one who perseveres under trial because, having stood the test, that person will receive the crown of life that the Lord has promised to those who love him."""
Motivation,Proverbs 4:25-27,"""Let your eyes look straight ahead; fix your gaze directly before you. Give careful thought to the paths for your feet and be steadfast in all your ways. Do not turn to the right or the left; keep your foot from evil."""
Motivation,Romans 8:28,"""And we know that in all things God works for the good of those who love him, who have been called according to his purpose."""
Motivation,Pslam 121:1-2,"""""""I lift up my eyes to the mountains�where does my help come from? My help comes from the Lord, the Maker of heaven and earth."""""""
Motivation,2 Chronicles 15:7,"""But as for you, be strong and do not give up, for your work will be rewarded.�"""
Motivation,John 14:27,"""Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid."""
Motivation,1 Peter 4:10,"""Each of you should use whatever gift you have received to serve others, as faithful stewards of God�s grace in its various forms."""
Motivation,2 Thessalonians 3:13,"""And as for you, brothers and sisters, never tire of doing what is good."""
Motivation,Proverbs 14:23,"""All hard work brings a profit, but mere talk leads only to poverty."""
Motivation,Matthew 5:16,"""In the same way, let your light shine before others, that they may see your good deeds and glorify your Father in heaven."""
Motivation,Psalm 34:17,"""The righteous cry out, and the Lord hears them; he delivers them from all their troubles."""
Motivation,James 1:5,"""If any of you lacks wisdom, you should ask God, who gives generously to all without finding fault, and it will be given to you."""
Motivation,Hebrews 10:24-25,"""And let us consider how we may spur one another on toward love and good deeds, not giving up meeting together, as some are in the habit of doing, but encouraging one another �and all the more as you see the Day approaching."""
Motivation,Romans 5:3-5,"""Not only so, but we also glory in our sufferings, because we know that suffering produces perseverance; perseverance, character; and character, hope. And hope does not put us to shame, because God�s love has been poured out into our hearts through the Holy Spirit, who has been given to us."""
Motivation,Isaiah 40:29,"""He gives strength to the weary and increases the power of the weak."""
Motivation,Ecclesiastes 9:10,"""Whatever your hand finds to do, do it with all your might, for in the realm of the dead, where you are going, there is neither working nor planning nor knowledge nor wisdom."""
Motivation,2 Peter 1:10,"""Therefore, my brothers and sisters, make every effort to confirm your calling and election. For if you do these things, you will never stumble,"""
Motivation,Psalm 23:4,"""Even though I walk through the darkest valley, I will fear no evil, for you are with me; your rod and your staff, they comfort me."""
Motivation,Colossians 1:11,"""being strengthened with all power according to his glorious might so that you may have great endurance and patience,"""
Motivation,Ephesians 3:20,"""Now to him who is able to do immeasurably more than all we ask or imagine, according to his power that is at work within us,"""
Motivation,1 Timothy 4:12,"""Don�t let anyone look down on you because you are young, but set an example for the believers in speech, in conduct, in love, in faith and in purity."""
Motivation,Proverbs 16:3,"""Commit to the Lord whatever you do, and he will establish your plans."""
Motivation,Revelation 3:8,"""I know your deeds. See, I have placed before you an open door that no one can shut. I know that you have little strength, yet you have kept my word and have not denied my name."""
Motivation,Psalm 37:4-5,"""Take delight in the Lord , and he will give you the desires of your heart. Commit your way to the Lord ; trust in him and he will do this:"""
Motivation,Matthew 6:33,"""But seek first his kingdom and his righteousness, and all these things will be given to you as well."""
Motivation,John 15:5,"""�I am the vine; you are the branches. If you remain in me and I in you, you will bear much fruit; apart from me you can do nothing."""
Motivation,Romans 14:8,"""If we live, we live for the Lord; and if we die, we die for the Lord. So, whether we live or die, we belong to the Lord."""
Motivation,Isaiah 43:2,"""When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze."""
Motivation,Micah 6:8,"""He has shown you, O mortal, what is good. And what does the Lord require of you? To act justly and to love mercy and to walk humbly with your God."""
Motivation,Pslam 90:17,"""""""May the favor of the Lord our God rest on us; establish the work of our hands for us�yes, establish the work of our hands."""""""
Motivation,Luke 1:45,"""Blessed is she who has believed that the Lord would fulfill his promises to her!�"""
Motivation,Hebrews 13:5-6,"""Keep your lives free from the love of money and be content with what you have, because God has said, �Never will I leave you; never will I forsake you.� So we say with confidence, �The Lord is my helper; I will not be afraid. What can mere mortals do to me?�"""
Motivation,Psalm 138:8,"""The Lord will vindicate me; your love, Lord , endures forever � do not abandon the works of your hands."""
Motivation,John 13:7,"""Jesus replied, �You do not realize now what I am doing, but later you will understand.�"""
Anxiety,1 Peter 5:7,"""Cast all your anxiety on him because he cares for you."""
Anxiety,Matthew 6:34,"""Therefore do not worry about tomorrow, for tomorrow will worry about itself. Each day has enough trouble of its own."""
Anxiety,Psalm 94:19,"""When anxiety was great within me, your consolation brought me joy."""
Anxiety,Isaiah 41:10,"""So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand."""
Anxiety,Philippians 4:6-7,"""Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus."""
Anxiety,John 14:27,"""Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid."""
Anxiety,Psalm 23:1-4,"""Psalm 23 A psalm of David. The Lord is my shepherd, I lack nothing. He makes me lie down in green pastures, he leads me beside quiet waters, he refreshes my soul. He guides me along the right paths for his name�s sake. Even though I walk through the darkest valley, I will fear no evil, for you are with me; your rod and your staff, they comfort me."""
Anxiety,Proverbs 12:25,"""Anxiety weighs down the heart, but a kind word cheers it up."""
Anxiety,Luke 12:25-26,"""Who of you by worrying can add a single hour to your life ? Since you cannot do this very little thing, why do you worry about the rest?"""
Anxiety,Joshua 1:9,"""Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.�"""
Anxiety,2 Timothy 1:7,"""For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline."""
Anxiety,Pslam 56:3,"""""""When I am afraid, I put my trust in you."""""""
Anxiety,Matthew 11:28-30,"""�Come to me, all you who are weary and burdened, and I will give you rest. Take my yoke upon you and learn from me, for I am gentle and humble in heart, and you will find rest for your souls. For my yoke is easy and my burden is light.�"""
Anxiety,Romans 8:38-39,"""For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord."""
Anxiety,Isaiah 26:3,"""You will keep in perfect peace those whose minds are steadfast, because they trust in you."""
Anxiety,Romans 15:13,"""May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with hope by the power of the Holy Spirit."""
Anxiety,Hebrews 13:5-6,"""Keep your lives free from the love of money and be content with what you have, because God has said, �Never will I leave you; never will I forsake you.� So we say with confidence, �The Lord is my helper; I will not be afraid. What can mere mortals do to me?�"""
Anxiety,Lamentations 3:22-23,"""Because of the Lord �s great love we are not consumed, for his compassions never fail. They are new every morning; great is your faithfulness."""
Anxiety,Psalm 46:1-3,"""Psalm 46 For the director of music. Of the Sons of Korah. According to alamoth. A song. God is our refuge and strength, an ever-present help in trouble. Therefore we will not fear, though the earth give way and the mountains fall into the heart of the sea, though its waters roar and foam and the mountains quake with their surging."""
Anxiety,Deuteronomy 31:6,"""Be strong and courageous. Do not be afraid or terrified because of them, for the Lord your God goes with you; he will never leave you nor forsake you.�"""
Anxiety,Psalm 121:1-2,"""Psalm 121 A song of ascents. I lift up my eyes to the mountains� where does my help come from? My help comes from the Lord , the Maker of heaven and earth."""
Anxiety,2 Thessalonians 3:16,"""Final Greetings Now may the Lord of peace himself give you peace at all times and in every way. The Lord be with all of you."""
Anxiety,1 John 4:18,"""There is no fear in love. But perfect love drives out fear, because fear has to do with punishment. The one who fears is not made perfect in love."""
Anxiety,Exodus 14:14,"""The Lord will fight for you; you need only to be still.�"""
Anxiety,Isaiah 40:29-31,"""He gives strength to the weary and increases the power of the weak. Even youths grow tired and weary, and young men stumble and fall; but those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint."""
Anxiety,Zephaniah 3:17,"""The Lord your God is with you, the Mighty Warrior who saves. He will take great delight in you; in his love he will no longer rebuke you, but will rejoice over you with singing.�"""
Anxiety,Isaiah 43:2,"""When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze."""
Anxiety,Proverbs 3:5-6,"""Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight."""
Anxiety,Pslam 55:22,"""""""Cast your cares on the Lord and he will sustain you; he will never let the righteous be shaken."""""""
Anxiety,Hebrews 4:16,"""Let us then approach God�s throne of grace with confidence, so that we may receive mercy and find grace to help us in our time of need."""
Anxiety,Matthew 10:29-31,"""Are not two sparrows sold for a penny? Yet not one of them will fall to the ground outside your Father�s care. And even the very hairs of your head are all numbered. So don�t be afraid; you are worth more than many sparrows."""
Anxiety,Psalm 34:17-18,"""The righteous cry out, and the Lord hears them; he delivers them from all their troubles. The Lord is close to the brokenhearted and saves those who are crushed in spirit."""
Anxiety,Psalm 139:23-24,"""Search me, God, and know my heart; test me and know my anxious thoughts. See if there is any offensive way in me, and lead me in the way everlasting."""
Anxiety,Isaiah 12:2,"""Surely God is my salvation; I will trust and not be afraid. The Lord , the Lord himself, is my strength and my defense ; he has become my salvation. �"""
Anxiety,Luke 10:41-42,"""�Martha, Martha,� the Lord answered, �you are worried and upset about many things, but few things are needed�or indeed only one. Mary has chosen what is better, and it will not be taken away from her.�"""
Anxiety,2 Corinthians 12:9,"""But he said to me, �My grace is sufficient for you, for my power is made perfect in weakness. � Therefore I will boast all the more gladly about my weaknesses, so that Christ�s power may rest on me."""
Anxiety,James 1:2-4,"""Trials and Temptations Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds, because you know that the testing of your faith produces perseverance. Let perseverance finish its work so that you may be mature and complete, not lacking anything."""
Anxiety,Genesis 50:20,"""You intended to harm me, but God intended it for good to accomplish what is now being done, the saving of many lives."""
Anxiety,Psalm 112:7,"""They will have no fear of bad news; their hearts are steadfast, trusting in the Lord ."""
Anxiety,Ecclesiastes 3:1,"""A Time for Everything There is a time for everything, and a season for every activity under the heavens:"""
Anxiety,Romans 12:12,"""Be joyful in hope, patient in affliction, faithful in prayer."""
Anxiety,Colossians 3:15,"""Let the peace of Christ rule in your hearts, since as members of one body you were called to peace. And be thankful."""
Anxiety,John 16:33,"""�I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world.�"""
Anxiety,Psalm 16:8,"""I keep my eyes always on the Lord . With him at my right hand, I will not be shaken."""
Anxiety,Romans 5:1,"""Peace and Hope Therefore, since we have been justified through faith, we have peace with God through our Lord Jesus Christ,"""
Anxiety,Ephesians 2:14,"""For he himself is our peace, who has made the two groups one and has destroyed the barrier, the dividing wall of hostility,"""
Anxiety,Luke 12:6-7,"""Are not five sparrows sold for two pennies? Yet not one of them is forgotten by God. Indeed, the very hairs of your head are all numbered. Don�t be afraid; you are worth more than many sparrows."""
Anxiety,Matthew 6:27,"""Can any one of you by worrying add a single hour to your life ?"""
Anxiety,Psalm 27:1,"""Psalm 27 Of David. The Lord is my light and my salvation � whom shall I fear? The Lord is the stronghold of my life� of whom shall I be afraid?"""
Anxiety,1 Corinthians 10:13,"""No temptation has overtaken you except what is common to mankind. And God is faithful; he will not let you be tempted beyond what you can bear. But when you are tempted, he will also provide a way out so that you can endure it."""
Gratitude,1 Thessalonians 5:18,"""give thanks in all circumstances; for this is God�s will for you in Christ Jesus."""
Gratitude,Psalm 107:1,"""BOOK V Psalms 107�150 Psalm 107 Give thanks to the Lord , for he is good; his love endures forever."""
Gratitude,Colossians 3:15,"""Let the peace of Christ rule in your hearts, since as members of one body you were called to peace. And be thankful."""
Gratitude,Ephesians 5:20,"""always giving thanks to God the Father for everything, in the name of our Lord Jesus Christ."""
Gratitude,Psalm 100:4,"""Enter his gates with thanksgiving and his courts with praise; give thanks to him and praise his name."""
Gratitude,Hebrews 12:28,"""Therefore, since we are receiving a kingdom that cannot be shaken, let us be thankful, and so worship God acceptably with reverence and awe,"""
Gratitude,James 1:17,"""Every good and perfect gift is from above, coming down from the Father of the heavenly lights, who does not change like shifting shadows."""
Gratitude,Psalm 95:2,"""Let us come before him with thanksgiving and extol him with music and song."""
Gratitude,Philippians 4:6,"""Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God."""
Gratitude,2 Corinthians 9:11,"""You will be enriched in every way so that you can be generous on every occasion, and through us your generosity will result in thanksgiving to God."""
Gratitude,Isaiah 12:4,"""In that day you will say: �Give praise to the Lord , proclaim his name; make known among the nations what he has done, and proclaim that his name is exalted."""
Gratitude,Psalm 103:2,"""Praise the Lord , my soul, and forget not all his benefits�"""
Gratitude,Colossians 4:2,"""Further Instructions Devote yourselves to prayer, being watchful and thankful."""
Gratitude,Daniel 2:23,"""I thank and praise you, God of my ancestors: You have given me wisdom and power, you have made known to me what we asked of you, you have made known to us the dream of the king. �"""
Gratitude,Psalm 118:24,"""The Lord has done it this very day; let us rejoice today and be glad."""
Gratitude,Psalm 28:7,"""The Lord is my strength and my shield; my heart trusts in him, and he helps me. My heart leaps for joy, and with my song I praise him."""
Gratitude,Romans 1:21,"""For although they knew God, they neither glorified him as God nor gave thanks to him, but their thinking became futile and their foolish hearts were darkened."""
Gratitude,1 Chronicles 16:34,"""Give thanks to the Lord , for he is good; his love endures forever."""
Gratitude,Luke 17:15-16,"""One of them, when he saw he was healed, came back, praising God in a loud voice. He threw himself at Jesus� feet and thanked him�and he was a Samaritan."""
Gratitude,Jonah 2:9,"""But I, with shouts of grateful praise, will sacrifice to you. What I have vowed I will make good. I will say, �Salvation comes from the Lord .��"""
Gratitude,1 Timothy 4:4,"""For everything God created is good, and nothing is to be rejected if it is received with thanksgiving,"""
Gratitude,Revelation 11:17,"""saying: �We give thanks to you, Lord God Almighty, the One who is and who was, because you have taken your great power and have begun to reign."""
Gratitude,Psalm 145:10,"""All your works praise you, Lord ; your faithful people extol you."""
Gratitude,2 Corinthians 4:15,"""All this is for your benefit, so that the grace that is reaching more and more people may cause thanksgiving to overflow to the glory of God."""
Gratitude,Psalm 86:12,"""I will praise you, Lord my God, with all my heart; I will glorify your name forever."""
Gratitude,Ephesians 1:16,"""I have not stopped giving thanks for you, remembering you in my prayers."""
Gratitude,Psalm 69:30,"""I will praise God�s name in song and glorify him with thanksgiving."""
Gratitude,Nehemiah 12:46,"""For long ago, in the days of David and Asaph, there had been directors for the musicians and for the songs of praise and thanksgiving to God."""
Gratitude,Colossians 2:7,"""rooted and built up in him, strengthened in the faith as you were taught, and overflowing with thankfulness."""
Gratitude,Pslam 9:1,"""""""I will give thanks to you, Lord, with all my heart; I will tell of all your wonderful deeds."""""""
Gratitude,Pslam 118:1,"""""""Give thanks to the Lord, for he is good; his love endures forever."""""""
Gratitude,1 Chronicles 29:13,"""Now, our God, we give you thanks, and praise your glorious name."""
Gratitude,Psalm 136:1,"""Psalm 136 Give thanks to the Lord , for he is good. His love endures forever."""
Gratitude,Lamentations 3:23,"""They are new every morning; great is your faithfulness."""
Gratitude,Psalm 92:1,"""Psalm 92 A psalm. A song. For the Sabbath day. It is good to praise the Lord and make music to your name, O Most High,"""
Gratitude,1 Corinthians 1:4,"""Thanksgiving I always thank my God for you because of his grace given you in Christ Jesus."""
Gratitude,Job 1:21,"""and said: �Naked I came from my mother�s womb, and naked I will depart. The Lord gave and the Lord has taken away; may the name of the Lord be praised.�"""
Gratitude,Habakkuk 3:17-18,"""Though the fig tree does not bud and there are no grapes on the vines, though the olive crop fails and the fields produce no food, though there are no sheep in the pen and no cattle in the stalls, yet I will rejoice in the Lord , I will be joyful in God my Savior."""
Gratitude,Romans 8:28,"""And we know that in all things God works for the good of those who love him, who have been called according to his purpose."""
Gratitude,Psalm 50:14,"""�Sacrifice thank offerings to God, fulfill your vows to the Most High,"""
Gratitude,Leviticus 7:12,"""��If they offer it as an expression of thankfulness, then along with this thank offering they are to offer thick loaves made without yeast and with olive oil mixed in, thin loaves made without yeast and brushed with oil, and thick loaves of the finest flour well-kneaded and with oil mixed in."""
Gratitude,Ephesians 5:19-20,"""speaking to one another with psalms, hymns, and songs from the Spirit. Sing and make music from your heart to the Lord, always giving thanks to God the Father for everything, in the name of our Lord Jesus Christ."""
Gratitude,2 Corinthians 2:14,"""But thanks be to God, who always leads us as captives in Christ�s triumphal procession and uses us to spread the aroma of the knowledge of him everywhere."""
Gratitude,Hebrews 13:15,"""Through Jesus, therefore, let us continually offer to God a sacrifice of praise�the fruit of lips that openly profess his name."""
Gratitude,1 Samuel 12:24,"""But be sure to fear the Lord and serve him faithfully with all your heart; consider what great things he has done for you."""
Gratitude,Philippians 1:3,"""Thanksgiving and Prayer I thank my God every time I remember you."""
Gratitude,Pslam 30:12,"""""""That my heart may sing your praises and not be silent. Lord my God, I will praise you forever."""""""
